chrom	start	end	major_cn	minor_cn	donor_id	study	id
3	26964281	27118612	3	0	sim1	Eso-AdenoCa	cna42
3	27118613	99853604	1	0	sim1	Eso-AdenoCa	cna43
3	99853605	144799808	1	1	sim1	Eso-AdenoCa	cna44
3	144799809	156649743	2	2	sim1	Eso-AdenoCa	cna45
3	156649744	194748697	2	1	sim1	Eso-AdenoCa	cna46
3	194748698	196073912	3	2	sim1	Eso-AdenoCa	cna47
3	196073913	196369619	2	1	sim1	Eso-AdenoCa	cna48
3	196369620	198022430	2	2	sim1	Eso-AdenoCa	cna49
4	1	42687513	1	1	sim1	Eso-AdenoCa	cna50
4	42687514	48033683	2	1	sim1	Eso-AdenoCa	cna51
4	48033684	48250552	1	0	sim1	Eso-AdenoCa	cna52
4	48250553	48323190	3	1	sim1	Eso-AdenoCa	cna53
4	48323191	48568282	1	0	sim1	Eso-AdenoCa	cna54
4	48568283	121752231	1	1	sim1	Eso-AdenoCa	cna55
4	121752232	176948657	2	1	sim1	Eso-AdenoCa	cna56
4	176948658	191154276	1	1	sim1	Eso-AdenoCa	cna57
5	1	35579548	1	1	sim1	Eso-AdenoCa	cna58
5	35579549	46056625	2	1	sim1	Eso-AdenoCa	cna59
5	46056626	47954819	1	0	sim1	Eso-AdenoCa	cna60
5	47954820	48261614	2	0	sim1	Eso-AdenoCa	cna61
5	48261615	48323144	2	1	sim1	Eso-AdenoCa	cna62
5	48323145	87515633	2	2	sim1	Eso-AdenoCa	cna63
5	87515634	87910935	2	0	sim1	Eso-AdenoCa	cna64
5	87910936	89317963	2	1	sim1	Eso-AdenoCa	cna65
5	89317964	89338659	1	1	sim1	Eso-AdenoCa	cna66
5	89338660	93865617	3	0	sim1	Eso-AdenoCa	cna67
5	93865618	108904306	1	2	sim1	Eso-AdenoCa	cna68
5	108904307	109624403	1	0	sim1	Eso-AdenoCa	cna69
5	109624404	112753963	2	0	sim1	Eso-AdenoCa	cna70
5	112753964	113117692	0	0	sim1	Eso-AdenoCa	cna71
5	113117693	125288384	1	1	sim1	Eso-AdenoCa	cna72
5	125288385	125297696	2	1	sim1	Eso-AdenoCa	cna73
5	125297697	125428019	1	0	sim1	Eso-AdenoCa	cna74
5	125428020	129094470	3	1	sim1	Eso-AdenoCa	cna75
5	129094471	129462959	2	1	sim1	Eso-AdenoCa	cna76
5	129462960	132399538	2	2	sim1	Eso-AdenoCa	cna77
5	132399539	132427786	3	1	sim1	Eso-AdenoCa	cna78
5	132427787	132472331	2	1	sim1	Eso-AdenoCa	cna79
5	132472332	132632981	3	1	sim1	Eso-AdenoCa	cna80
5	132632982	135809271	1	0	sim1	Eso-AdenoCa	cna81
5	135809272	140166331	3	0	sim1	Eso-AdenoCa	cna82
5	140166332	146941650	5	2	sim1	Eso-AdenoCa	cna83
5	146941651	151421050	2	2	sim1	Eso-AdenoCa	cna84
5	151421051	152098277	2	0	sim1	Eso-AdenoCa	cna85
5	152098278	165655091	1	0	sim1	Eso-AdenoCa	cna86
5	165655092	166132891	4	2	sim1	Eso-AdenoCa	cna87
5	166132892	180561794	2	0	sim1	Eso-AdenoCa	cna88
5	180561795	180765636	2	1	sim1	Eso-AdenoCa	cna89
5	180765637	180915260	1	1	sim1	Eso-AdenoCa	cna90
6	1	31487478	2	1	sim1	Eso-AdenoCa	cna91
6	31487479	39262489	2	2	sim1	Eso-AdenoCa	cna92
6	39262490	45549617	2	0	sim1	Eso-AdenoCa	cna93
6	45549618	47392008	2	1	sim1	Eso-AdenoCa	cna94
6	47392009	49029934	1	1	sim1	Eso-AdenoCa	cna95
6	49029935	51594424	2	2	sim1	Eso-AdenoCa	cna96
6	51594425	54849301	3	3	sim1	Eso-AdenoCa	cna97
6	54849302	150477854	1	0	sim1	Eso-AdenoCa	cna98
6	150477855	152077813	2	1	sim1	Eso-AdenoCa	cna99
6	152077814	157637973	1	1	sim1	Eso-AdenoCa	cna100
6	157637974	171096531	2	1	sim1	Eso-AdenoCa	cna101
6	171096532	171115067	6	1	sim1	Eso-AdenoCa	cna102
7	1	50141421	1	0	sim1	Eso-AdenoCa	cna103
7	50141422	54438627	2	0	sim1	Eso-AdenoCa	cna104
7	54438628	57120389	2	1	sim1	Eso-AdenoCa	cna105
7	57120390	57648381	5	1	sim1	Eso-AdenoCa	cna106
7	57648382	87425618	1	1	sim1	Eso-AdenoCa	cna107
7	87425619	108487103	2	2	sim1	Eso-AdenoCa	cna108
7	108487104	140509313	3	2	sim1	Eso-AdenoCa	cna109
7	140509314	157101779	2	0	sim1	Eso-AdenoCa	cna110
7	157101780	159138663	1	1	sim1	Eso-AdenoCa	cna111
8	1	137688851	1	0	sim1	Eso-AdenoCa	cna112
8	137688852	145964779	1	1	sim1	Eso-AdenoCa	cna113
8	145964780	146351096	2	0	sim1	Eso-AdenoCa	cna114
8	146351097	146364022	2	1	sim1	Eso-AdenoCa	cna115
9	1	121007732	1	1	sim1	Eso-AdenoCa	cna116
9	121007733	135949650	3	1	sim1	Eso-AdenoCa	cna117
9	135949651	141213431	2	1	sim1	Eso-AdenoCa	cna118
10	1	9954677	1	1	sim1	Eso-AdenoCa	cna119
10	9954678	12633657	2	1	sim1	Eso-AdenoCa	cna120
10	12633658	35158489	1	1	sim1	Eso-AdenoCa	cna121
10	35158490	35279476	2	1	sim1	Eso-AdenoCa	cna122
10	35279477	46698140	3	1	sim1	Eso-AdenoCa	cna123
10	46698141	60958014	1	1	sim1	Eso-AdenoCa	cna124
10	60958015	61290936	2	1	sim1	Eso-AdenoCa	cna125
10	61290937	98369717	4	1	sim1	Eso-AdenoCa	cna126
10	98369718	135534747	2	2	sim1	Eso-AdenoCa	cna127
11	1	5536746	2	0	sim1	Eso-AdenoCa	cna128
11	5536747	5619626	1	1	sim1	Eso-AdenoCa	cna129
11	5619627	5816790	2	1	sim1	Eso-AdenoCa	cna130
11	5816791	38747953	1	0	sim1	Eso-AdenoCa	cna131
11	38747954	38789675	2	0	sim1	Eso-AdenoCa	cna132
11	38789676	41264275	2	1	sim1	Eso-AdenoCa	cna133
11	41264276	135006516	2	2	sim1	Eso-AdenoCa	cna134
12	1	34122495	2	2	sim1	Eso-AdenoCa	cna135
12	34122496	43008181	2	1	sim1	Eso-AdenoCa	cna136
12	43008182	55318465	1	0	sim1	Eso-AdenoCa	cna137
12	55318466	99266936	2	2	sim1	Eso-AdenoCa	cna138
12	99266937	100540499	2	1	sim1	Eso-AdenoCa	cna139
12	100540500	104353108	3	1	sim1	Eso-AdenoCa	cna140
12	104353109	104957385	3	2	sim1	Eso-AdenoCa	cna141
12	104957386	104971245	2	1	sim1	Eso-AdenoCa	cna142
12	104971246	105002515	5	1	sim1	Eso-AdenoCa	cna143
12	105002516	133142191	3	2	sim1	Eso-AdenoCa	cna144
12	133142192	133540624	4	2	sim1	Eso-AdenoCa	cna145
12	133540625	133851895	3	1	sim1	Eso-AdenoCa	cna146
13	1	77311944	1	1	sim1	Eso-AdenoCa	cna147
13	77311945	81609138	1	0	sim1	Eso-AdenoCa	cna148
13	81609139	86024442	2	1	sim1	Eso-AdenoCa	cna149
13	86024443	87875898	2	0	sim1	Eso-AdenoCa	cna150
13	87875899	91143759	3	0	sim1	Eso-AdenoCa	cna151
13	91143760	115097146	1	0	sim1	Eso-AdenoCa	cna152
13	115097147	115169878	1	1	sim1	Eso-AdenoCa	cna153
14	1	282651	2	2	sim1	Eso-AdenoCa	cna154
14	282652	323404	4	1	sim1	Eso-AdenoCa	cna155
14	323405	12259393	1	0	sim1	Eso-AdenoCa	cna156
14	12259394	14145728	1	1	sim1	Eso-AdenoCa	cna157
14	14145729	68737156	3	0	sim1	Eso-AdenoCa	cna158
14	68737157	107349540	1	0	sim1	Eso-AdenoCa	cna159
15	1	9609369	2	0	sim1	Eso-AdenoCa	cna160
15	9609370	9720285	0	0	sim1	Eso-AdenoCa	cna161
15	9720286	9840092	3	1	sim1	Eso-AdenoCa	cna162
15	9840093	22569210	3	0	sim1	Eso-AdenoCa	cna163
15	22569211	67271681	1	1	sim1	Eso-AdenoCa	cna164
15	67271682	67457474	2	0	sim1	Eso-AdenoCa	cna165
15	67457475	93895592	2	2	sim1	Eso-AdenoCa	cna166
15	93895593	94886828	4	0	sim1	Eso-AdenoCa	cna167
15	94886829	94971357	1	1	sim1	Eso-AdenoCa	cna168
15	94971358	95117103	2	1	sim1	Eso-AdenoCa	cna169
15	95117104	95307251	4	2	sim1	Eso-AdenoCa	cna170
15	95307252	100902525	3	2	sim1	Eso-AdenoCa	cna171
15	100902526	102256431	2	1	sim1	Eso-AdenoCa	cna172
15	102256432	102330003	1	1	sim1	Eso-AdenoCa	cna173
15	102330004	102339562	2	1	sim1	Eso-AdenoCa	cna174
15	102339563	102531392	2	2	sim1	Eso-AdenoCa	cna175
16	1	4632152	1	0	sim1	Eso-AdenoCa	cna176
16	4632153	52425737	3	0	sim1	Eso-AdenoCa	cna177
16	52425738	52746890	2	1	sim1	Eso-AdenoCa	cna178
16	52746891	52838331	4	2	sim1	Eso-AdenoCa	cna179
16	52838332	52863321	2	2	sim1	Eso-AdenoCa	cna180
16	52863322	53173203	4	0	sim1	Eso-AdenoCa	cna181
16	53173204	69573091	1	1	sim1	Eso-AdenoCa	cna182
16	69573092	80314398	2	1	sim1	Eso-AdenoCa	cna183
16	80314399	80324471	1	0	sim1	Eso-AdenoCa	cna184
16	80324472	80459424	4	1	sim1	Eso-AdenoCa	cna185
16	80459425	85646007	1	0	sim1	Eso-AdenoCa	cna186
16	85646008	87195623	2	1	sim1	Eso-AdenoCa	cna187
16	87195624	90354753	2	0	sim1	Eso-AdenoCa	cna188
17	1	45734086	2	0	sim1	Eso-AdenoCa	cna189
17	45734087	81195210	1	0	sim1	Eso-AdenoCa	cna190
18	1	78077248	1	1	sim1	Eso-AdenoCa	cna191
19	1	58984372	1	1	sim1	Eso-AdenoCa	cna192
19	58984373	59107867	2	1	sim1	Eso-AdenoCa	cna193
19	59107868	59128983	0	0	sim1	Eso-AdenoCa	cna194
20	1	60744844	2	0	sim1	Eso-AdenoCa	cna195
20	60744845	62812255	1	0	sim1	Eso-AdenoCa	cna196
20	62812256	63025520	2	1	sim1	Eso-AdenoCa	cna197
21	1	33721929	1	1	sim1	Eso-AdenoCa	cna198
21	33721930	37136563	2	1	sim1	Eso-AdenoCa	cna199
21	37136564	48129895	2	0	sim1	Eso-AdenoCa	cna200
22	1	25661987	1	1	sim1	Eso-AdenoCa	cna201
22	25661988	45208161	2	2	sim1	Eso-AdenoCa	cna202
22	45208162	51304566	2	1	sim1	Eso-AdenoCa	cna203
X	1	126812047	1	1	sim1	Eso-AdenoCa	cna204
X	126812048	154786502	2	0	sim1	Eso-AdenoCa	cna205
X	154786503	155270560	2	1	sim1	Eso-AdenoCa	cna206
