chrom1	start1	end1	chrom2	start2	end2	strand1	strand2	svclass	id	allele	donor_id	tumor
9	136737905	136737906	9	141213431	141213432	+	-	DEL	cna33	minor	sim3	Panc-Endocrine
10	68728329	68728330	10	68796506	68796507	-	+	DUP	cna35	major	sim3	Panc-Endocrine
10	68728329	68728330	10	68796506	68796507	+	-	DEL	cna35	minor	sim3	Panc-Endocrine
10	68796507	68796508	10	125302174	125302175	-	+	DUP	cna36	major	sim3	Panc-Endocrine
10	125302175	125302176	10	125306516	125306517	-	+	DUP	cna37	major	sim3	Panc-Endocrine
10	125302175	125302176	10	125306516	125306517	+	-	DEL	cna37	minor	sim3	Panc-Endocrine
10	125306517	125306518	10	130354714	130354715	+	-	DEL	cna38	minor	sim3	Panc-Endocrine
10	130354715	130354716	10	135534747	135534748	-	+	DUP	cna39	major	sim3	Panc-Endocrine
10	130354715	130354716	10	135534747	135534748	-	+	DUP	cna39	minor	sim3	Panc-Endocrine
11	1	2	11	135006516	135006517	+	-	DEL	cna40	minor	sim3	Panc-Endocrine
11	106301310	135006516	17	1	55465304	-	+	TRA	cna40,cna60	major,major	sim3	Panc-Endocrine
12	96982838	96982839	12	99019118	99019119	-	+	DUP	cna42	major	sim3	Panc-Endocrine
12	96982838	96982839	12	99019118	99019119	-	+	DUP	cna42	minor	sim3	Panc-Endocrine
12	99019119	99019120	12	105512796	105512797	-	+	DUP	cna43	major	sim3	Panc-Endocrine
12	105512797	105512798	12	133851895	133851896	-	+	DUP	cna44	major	sim3	Panc-Endocrine
12	105512797	105512798	12	133851895	133851896	+	-	DEL	cna44	minor	sim3	Panc-Endocrine
13	1	2	13	115169878	115169879	+	-	DEL	cna45	minor	sim3	Panc-Endocrine
13	57884699	57884700	13	58723152	58723153	+	+	h2hINV	cna45	major	sim3	Panc-Endocrine
14	38382321	38382322	14	42963324	42963325	-	-	t2tINV	cna46	major	sim3	Panc-Endocrine
14	80874121	80874122	14	100272600	100272601	+	+	h2hINV	cna46	minor	sim3	Panc-Endocrine
14	93919467	93919468	14	94229937	94229938	-	+	DUP	cna47	major	sim3	Panc-Endocrine
14	94229938	94229939	14	106255165	106255166	+	-	DEL	cna48	minor	sim3	Panc-Endocrine
14	106255166	106255167	14	107349540	107349541	-	+	DUP	cna49	major	sim3	Panc-Endocrine
14	106255166	106255167	14	107349540	107349541	+	-	DEL	cna49	minor	sim3	Panc-Endocrine
15	93105775	93105776	15	95807465	95807466	+	-	DEL	cna51	minor	sim3	Panc-Endocrine
15	95807466	95807467	15	102531392	102531393	-	+	DUP	cna52	major	sim3	Panc-Endocrine
15	95807466	95807467	15	102531392	102531393	+	-	DEL	cna52	minor	sim3	Panc-Endocrine
16	2801001	2801002	16	3026341	3026342	-	+	DUP	cna54	major	sim3	Panc-Endocrine
16	2801001	2801002	16	3026341	3026342	+	-	DEL	cna54	minor	sim3	Panc-Endocrine
16	3026342	3026343	16	28531115	28531116	-	+	DUP	cna55	major	sim3	Panc-Endocrine
16	28531116	28531117	16	35721178	35721179	-	+	DUP	cna56	major	sim3	Panc-Endocrine
16	28531116	28531117	16	35721178	35721179	-	+	DUP	cna56	minor	sim3	Panc-Endocrine
16	35721179	35721180	16	35767230	35767231	+	-	DEL	cna57	minor	sim3	Panc-Endocrine
16	35767231	35767232	16	37800158	37800159	-	+	DUP	cna58	major	sim3	Panc-Endocrine
16	37800159	37800160	16	90354753	90354754	+	-	DEL	cna59	minor	sim3	Panc-Endocrine
17	1	2	17	81195210	81195211	+	-	DEL	cna60	minor	sim3	Panc-Endocrine
18	77818529	77818530	18	78077248	78077249	-	+	DUP	cna62	major	sim3	Panc-Endocrine
19	1	2	19	59128983	59128984	+	-	DEL	cna63	minor	sim3	Panc-Endocrine
20	44914073	44914074	20	63025520	63025521	-	+	DUP	cna65	major	sim3	Panc-Endocrine
20	44914073	44914074	20	63025520	63025521	+	-	DEL	cna65	minor	sim3	Panc-Endocrine
22	49048933	49048934	22	51304566	51304567	-	+	DUP	cna68	major	sim3	Panc-Endocrine
22	49048933	49048934	22	51304566	51304567	-	+	DUP	cna68	minor	sim3	Panc-Endocrine
X	360114	360115	X	14426064	14426065	+	+	h2hINV	cna69	major	sim3	Panc-Endocrine
X	44370264	44370265	X	155270560	155270561	+	-	DEL	cna70	minor	sim3	Panc-Endocrine
