chrom1	start1	end1	chrom2	start2	end2	strand1	strand2	svclass	id	allele	donor_id	tumor
4	12942737	12942738	4	32954134	32954135	+	-	DEL	cna18	minor	sim1	Panc-Endocrine
4	32954135	32954136	4	34171577	34171578	-	+	DUP	cna19	major	sim1	Panc-Endocrine
4	34171578	34171579	4	36443264	36443265	-	+	DUP	cna20	major	sim1	Panc-Endocrine
4	36443265	36443266	4	187106075	187106076	+	-	DEL	cna21	minor	sim1	Panc-Endocrine
4	89503976	187106075	6	1	137885377	-	+	TRA	cna21,cna25	minor,minor	sim1	Panc-Endocrine
4	176656476	187106075	10	23906548	117885996	-	-	TRA	cna21,cna33	minor,major	sim1	Panc-Endocrine
4	187106076	187106077	4	191154276	191154277	-	+	DUP	cna22	major	sim1	Panc-Endocrine
5	1	2	5	96620128	96620129	-	+	DUP	cna23	major	sim1	Panc-Endocrine
5	1	2	5	96620128	96620129	+	-	DEL	cna23	minor	sim1	Panc-Endocrine
5	96620129	96620130	5	180915260	180915261	-	+	DUP	cna24	major	sim1	Panc-Endocrine
6	1	2	6	171115067	171115068	-	+	DUP	cna25	major	sim1	Panc-Endocrine
6	1	2	6	171115067	171115068	-	+	DUP	cna25	minor	sim1	Panc-Endocrine
6	110317140	110317141	6	113195688	113195689	+	+	h2hINV	cna25	minor	sim1	Panc-Endocrine
7	1	2	7	159138663	159138664	-	+	DUP	cna26	major	sim1	Panc-Endocrine
7	1	2	7	159138663	159138664	+	-	DEL	cna26	minor	sim1	Panc-Endocrine
7	1	145756174	15	826505	102531392	+	-	TRA	cna26,cna50	minor,minor	sim1	Panc-Endocrine
7	128770873	128770874	7	129161045	129161046	-	-	t2tINV	cna26	major	sim1	Panc-Endocrine
8	126430810	126430811	8	141426102	141426103	-	-	t2tINV	cna27	major	sim1	Panc-Endocrine
8	143119522	143119523	8	146364022	146364023	+	-	DEL	cna28	minor	sim1	Panc-Endocrine
9	1	3884289	11	41404637	101276029	+	+	TRA	cna29,cna39	minor,minor	sim1	Panc-Endocrine
9	28063488	28063489	9	28073514	28073515	+	+	h2hINV	cna29	major	sim1	Panc-Endocrine
9	85885638	85885639	9	139509518	139509519	-	+	DUP	cna30	major	sim1	Panc-Endocrine
9	85885638	85885639	9	139509518	139509519	+	-	DEL	cna30	minor	sim1	Panc-Endocrine
9	139509519	139509520	9	139868777	139868778	+	-	DEL	cna31	minor	sim1	Panc-Endocrine
9	139868778	139868779	9	141213431	141213432	-	+	DUP	cna32	major	sim1	Panc-Endocrine
10	1	2	10	117885996	117885997	-	+	DUP	cna33	major	sim1	Panc-Endocrine
10	1	2	10	117885996	117885997	-	+	DUP	cna33	minor	sim1	Panc-Endocrine
10	117885997	117885998	10	117928293	117928294	+	-	DEL	cna34	minor	sim1	Panc-Endocrine
10	117928294	117928295	10	135534747	135534748	-	+	DUP	cna35	major	sim1	Panc-Endocrine
10	117928294	117928295	10	135534747	135534748	+	-	DEL	cna35	minor	sim1	Panc-Endocrine
11	1	2	11	12715172	12715173	+	-	DEL	cna36	minor	sim1	Panc-Endocrine
11	12715173	12715174	11	20585681	20585682	-	+	DUP	cna37	major	sim1	Panc-Endocrine
11	12715173	12715174	11	20585681	20585682	+	-	DEL	cna37	minor	sim1	Panc-Endocrine
11	20585682	20585683	11	41404636	41404637	-	+	DUP	cna38	major	sim1	Panc-Endocrine
11	20585682	20585683	11	41404636	41404637	-	+	DUP	cna38	minor	sim1	Panc-Endocrine
11	41404637	41404638	11	121699443	121699444	+	-	DEL	cna39	minor	sim1	Panc-Endocrine
11	69313010	69313011	11	72495986	72495987	+	+	h2hINV	cna39	major	sim1	Panc-Endocrine
11	121699444	121699445	11	133189260	133189261	-	+	DUP	cna40	major	sim1	Panc-Endocrine
11	121699444	121699445	11	133189260	133189261	+	-	DEL	cna40	minor	sim1	Panc-Endocrine
11	133189261	133189262	11	135006516	135006517	+	-	DEL	cna41	major	sim1	Panc-Endocrine
11	133189261	133189262	11	135006516	135006517	+	-	DEL	cna41	minor	sim1	Panc-Endocrine
12	1	2	12	133793557	133793558	-	+	DUP	cna42	major	sim1	Panc-Endocrine
12	1	2	12	133793557	133793558	+	-	DEL	cna42	minor	sim1	Panc-Endocrine
12	128980294	133793557	X	126288343	148872467	-	-	TRA	cna42,cna60	major,minor	sim1	Panc-Endocrine
12	133793558	133793559	12	133851895	133851896	-	+	DUP	cna43	major	sim1	Panc-Endocrine
13	10245006	10245007	13	13352033	13352034	+	-	DEL	cna45	minor	sim1	Panc-Endocrine
13	13352034	13352035	13	114829465	114829466	-	+	DUP	cna46	major	sim1	Panc-Endocrine
13	78387399	78387400	13	90926456	90926457	-	-	t2tINV	cna46	minor	sim1	Panc-Endocrine
13	114829466	114829467	13	114999672	114999673	-	+	DUP	cna47	major	sim1	Panc-Endocrine
13	114829466	114829467	13	114999672	114999673	+	-	DEL	cna47	minor	sim1	Panc-Endocrine
13	114999673	114999674	13	115169878	115169879	-	+	DUP	cna48	major	sim1	Panc-Endocrine
14	1	2	14	107349540	107349541	-	+	DUP	cna49	major	sim1	Panc-Endocrine
14	1	2	14	107349540	107349541	-	+	DUP	cna49	minor	sim1	Panc-Endocrine
15	1	2	15	102531392	102531393	-	+	DUP	cna50	major	sim1	Panc-Endocrine
15	1	2	15	102531392	102531393	-	+	DUP	cna50	minor	sim1	Panc-Endocrine
15	31452881	31452882	15	31462891	31462892	-	-	t2tINV	cna50	major	sim1	Panc-Endocrine
15	82690481	82690482	15	82700505	82700506	-	-	t2tINV	cna50	major	sim1	Panc-Endocrine
16	1	2	16	90354753	90354754	-	+	DUP	cna51	major	sim1	Panc-Endocrine
16	1	2	16	90354753	90354754	-	+	DUP	cna51	minor	sim1	Panc-Endocrine
17	37379636	37379637	17	37389646	37389647	-	-	t2tINV	cna52	major	sim1	Panc-Endocrine
19	1	2	19	59128983	59128984	-	+	DUP	cna54	major	sim1	Panc-Endocrine
19	1	2	19	59128983	59128984	+	-	DEL	cna54	minor	sim1	Panc-Endocrine
19	14727978	14727979	19	14737980	14737981	-	-	t2tINV	cna54	major	sim1	Panc-Endocrine
20	1	2	20	63025520	63025521	-	+	DUP	cna55	major	sim1	Panc-Endocrine
20	1	2	20	63025520	63025521	-	+	DUP	cna55	minor	sim1	Panc-Endocrine
21	1	2	21	48129895	48129896	-	+	DUP	cna56	major	sim1	Panc-Endocrine
21	1	2	21	48129895	48129896	-	+	DUP	cna56	minor	sim1	Panc-Endocrine
X	48523972	48523973	X	48787741	48787742	+	-	DEL	cna59	major	sim1	Panc-Endocrine
X	48523972	48523973	X	48787741	48787742	+	-	DEL	cna59	minor	sim1	Panc-Endocrine
X	48787742	48787743	X	148872467	148872468	-	+	DUP	cna60	major	sim1	Panc-Endocrine
X	48787742	48787743	X	148872467	148872468	+	-	DEL	cna60	minor	sim1	Panc-Endocrine
X	125264014	125264015	X	148532598	148532599	-	-	t2tINV	cna60	major	sim1	Panc-Endocrine
X	148872468	148872469	X	155270560	155270561	+	-	DEL	cna61	minor	sim1	Panc-Endocrine
