chrom	start	end	major_cn	minor_cn	donor_id	study	id
8	55947452	146364022	1	1	sim2	Prost-AdenoCA	cna33
9	1	86655049	1	1	sim2	Prost-AdenoCA	cna34
9	86655050	88475277	2	0	sim2	Prost-AdenoCA	cna35
9	88475278	95718166	1	0	sim2	Prost-AdenoCA	cna36
9	95718167	108651467	1	1	sim2	Prost-AdenoCA	cna37
9	108651468	120159983	2	1	sim2	Prost-AdenoCA	cna38
9	120159984	140685267	1	1	sim2	Prost-AdenoCA	cna39
9	140685268	141213431	1	0	sim2	Prost-AdenoCA	cna40
10	1	131199278	1	1	sim2	Prost-AdenoCA	cna41
10	131199279	135534747	2	0	sim2	Prost-AdenoCA	cna42
11	1	130411989	1	1	sim2	Prost-AdenoCA	cna43
11	130411990	133336033	1	0	sim2	Prost-AdenoCA	cna44
11	133336034	134489672	1	1	sim2	Prost-AdenoCA	cna45
11	134489673	135006516	1	0	sim2	Prost-AdenoCA	cna46
12	1	3836324	1	1	sim2	Prost-AdenoCA	cna47
12	3836325	3992969	0	0	sim2	Prost-AdenoCA	cna48
12	3992970	5631945	4	2	sim2	Prost-AdenoCA	cna49
12	5631946	52649219	1	1	sim2	Prost-AdenoCA	cna50
12	52649220	53081788	1	0	sim2	Prost-AdenoCA	cna51
12	53081789	56177165	2	1	sim2	Prost-AdenoCA	cna52
12	56177166	116418507	1	0	sim2	Prost-AdenoCA	cna53
12	116418508	116790528	1	1	sim2	Prost-AdenoCA	cna54
12	116790529	133851895	2	2	sim2	Prost-AdenoCA	cna55
13	1	19368201	1	1	sim2	Prost-AdenoCA	cna56
13	19368202	39852811	1	0	sim2	Prost-AdenoCA	cna57
13	39852812	56566575	1	1	sim2	Prost-AdenoCA	cna58
13	56566576	115169878	1	0	sim2	Prost-AdenoCA	cna59
14	1	107349540	1	1	sim2	Prost-AdenoCA	cna60
15	1	28069651	1	0	sim2	Prost-AdenoCA	cna61
15	28069652	87296310	1	1	sim2	Prost-AdenoCA	cna62
15	87296311	102531392	1	0	sim2	Prost-AdenoCA	cna63
16	1	90354753	1	1	sim2	Prost-AdenoCA	cna64
17	1	58186795	5	1	sim2	Prost-AdenoCA	cna65
17	58186796	81195210	1	1	sim2	Prost-AdenoCA	cna66
18	1	78077248	1	1	sim2	Prost-AdenoCA	cna67
19	1	7958430	1	1	sim2	Prost-AdenoCA	cna68
19	7958431	41804323	1	0	sim2	Prost-AdenoCA	cna69
19	41804324	50844770	3	2	sim2	Prost-AdenoCA	cna70
19	50844771	59128983	3	1	sim2	Prost-AdenoCA	cna71
20	1	63025520	2	1	sim2	Prost-AdenoCA	cna72
21	1	46236055	1	1	sim2	Prost-AdenoCA	cna73
21	46236056	48129895	4	1	sim2	Prost-AdenoCA	cna74
22	1	8478964	2	1	sim2	Prost-AdenoCA	cna75
22	8478965	8703323	1	1	sim2	Prost-AdenoCA	cna76
22	8703324	8848269	1	0	sim2	Prost-AdenoCA	cna77
22	8848270	26887590	1	1	sim2	Prost-AdenoCA	cna78
22	26887591	27019255	3	1	sim2	Prost-AdenoCA	cna79
22	27019256	31338010	1	0	sim2	Prost-AdenoCA	cna80
22	31338011	51304566	1	1	sim2	Prost-AdenoCA	cna81
X	1	43920423	1	1	sim2	Prost-AdenoCA	cna82
X	43920424	44507381	1	0	sim2	Prost-AdenoCA	cna83
X	44507382	154992504	1	1	sim2	Prost-AdenoCA	cna84
X	154992505	155270560	2	0	sim2	Prost-AdenoCA	cna85
Y	1	54707474	1	1	sim2	Prost-AdenoCA	cna86
Y	54707475	54853827	1	0	sim2	Prost-AdenoCA	cna87
Y	54853828	55317756	1	1	sim2	Prost-AdenoCA	cna88
Y	55317757	59373566	1	0	sim2	Prost-AdenoCA	cna89
